word,antonym,relation,cosine_similarity
ascending,descending,antonym,0.8715675473213196
centralized,decentralized,antonym,0.7421388626098633
reasonable,unreasonable,antonym,0.8351350426673889
simple,complex,antonym,0.6334340572357178
legible,illegible,antonym,0.8178849220275879
reduced,increased,antonym,0.49821558594703674
objective,subjective,antonym,0.7293243408203125
disagreeable,agreeable,antonym,0.9401137232780457
illogical,logical,antonym,0.7636981010437012
unrealistic,realistic,antonym,0.9265143871307373
generous,stingy,antonym,0.43795326352119446
useless,useful,antonym,0.8584352731704712
suppressed,publicized,antonym,0.8390198945999146
sensible,unreasonable,antonym,0.8293499946594238
broad,narrow,antonym,0.6204614639282227
insane,sane,antonym,0.12867632508277893
virtuous,wicked,antonym,0.28192901611328125
unstable,stable,antonym,0.9240262508392334
probable,improbable,antonym,0.7523777484893799
considerate,inconsiderate,antonym,0.5607167482376099
finite,infinite,antonym,0.7758011221885681
unbalanced,balanced,antonym,0.682259202003479
symmetric,asymmetrical,antonym,0.6250646114349365
decreasing,increasing,antonym,0.9436320662498474
nascent,dying,antonym,0.2446679025888443
unsuccessful,successful,antonym,0.9135454297065735
profound,superficial,antonym,0.5805304050445557
loveable,hateful,antonym,0.8359616994857788
powerless,powerful,antonym,0.6217377185821533
unholy,holy,antonym,0.34396642446517944
invulnerable,vulnerable,antonym,0.6770725250244141
covert,overt,antonym,0.0068511962890625
inconvenient,convenient,antonym,0.7105123996734619
practical,impractical,antonym,0.5552290081977844
inaccurate,accurate,antonym,0.8519306778907776
liked,disliked,antonym,0.7354863882064819
efficient,inefficient,antonym,0.9483168125152588
joyful,sorrowful,antonym,0.8785527944564819
reversible,irreversible,antonym,0.9035934209823608
violent,nonviolent,antonym,0.6663521528244019
more,less,antonym,0.9522732496261597
irresponsible,responsible,antonym,0.5656402111053467
aware,unaware,antonym,0.9509677290916443
tolerable,intolerable,antonym,0.9784838557243347
authorized,unauthorized,antonym,0.7909809350967407
disrespectful,respectful,antonym,0.6988697052001953
lost,found,antonym,0.06170535087585449
united,divided,antonym,0.2272636890411377
hopeful,hopeless,antonym,0.6593196988105774
unfaithful,faithful,antonym,0.575362503528595
intense,mild,antonym,0.8557588458061218
eventful,uneventful,antonym,0.7896331548690796
ungrateful,grateful,antonym,0.7641618847846985
legal,illegal,antonym,0.7742751836776733
unusual,usual,antonym,0.1217159703373909
near,far,antonym,0.3283553719520569
unselfish,selfish,antonym,0.6921800374984741
infrequent,frequent,antonym,0.8198268413543701
dependent,independent,antonym,0.9059722423553467
public,private,antonym,0.6165353059768677
gradual,sudden,antonym,0.3367197513580322
inconsistent,consistent,antonym,0.9833955764770508
infertile,fertile,antonym,0.7789911031723022
curable,incurable,antonym,0.7318693995475769
sufficient,insufficient,antonym,0.912227988243103
rational,irrational,antonym,0.9141535758972168
merciless,merciful,antonym,0.07267671823501587
polite,impolite,antonym,0.5506175756454468
dejected,elated,antonym,0.4992724657058716
symmetrical,asymmetrical,antonym,0.8430637121200562
impatient,patient,antonym,0.7420375943183899
awake,asleep,antonym,0.820473313331604
incredible,credible,antonym,0.7200663685798645
brave,cowardly,antonym,0.7375065684318542
precise,imprecise,antonym,0.836820125579834
decentralised,centralized,antonym,0.6871352195739746
docile,stubborn,antonym,-0.061979979276657104
displeased,pleased,antonym,0.6453868746757507
worrisome,reassuring,antonym,0.8026280403137207
edible,inedible,antonym,0.3912213444709778
cheap,expensive,antonym,0.8178118467330933
inaudible,audible,antonym,-0.19864842295646667
incapable,capable,antonym,0.41393789649009705
fit,unfit,antonym,0.1635468602180481
unorganized,organized,antonym,0.6744078993797302
explicit,implicit,antonym,0.9586664438247681
possible,impossible,antonym,0.6140331029891968
unproductive,productive,antonym,0.9158852100372314
insensitive,sensitive,antonym,0.8284029960632324
illiterate,literate,antonym,0.7730753421783447
destructive,constructive,antonym,0.8790684342384338
unborn,born,antonym,0.5068438649177551
amicable,hostile,antonym,0.32051917910575867
wide,narrow,antonym,0.7723369598388672
perfect,imperfect,antonym,-0.031546518206596375
ample,meager,antonym,0.11591235548257828
equal,unequal,antonym,0.8485396504402161
optional,obligatory,antonym,0.7240310311317444
courageous,cowardly,antonym,0.795002818107605
sighted,blind,antonym,0.7824993133544922
unbearable,tolerable,antonym,0.9322422742843628
immature,mature,antonym,0.8618316650390625
pessimistic,optimistic,antonym,0.830180287361145
intolerant,tolerant,antonym,0.820949912071228
careless,careful,antonym,0.5654379725456238
unmoved,moved,antonym,0.2377183437347412
meaningless,meaningful,antonym,0.8815864324569702
hateful,lovable,antonym,0.7648391127586365
unpaid,paid,antonym,0.3292737305164337
smart,stupid,antonym,0.7081847190856934
innocent,guilty,antonym,0.6798945665359497
