word,antonym,relation,cosine_similarity
ascending,descending,antonym,0.8753767013549805
centralized,decentralized,antonym,0.7090046405792236
reasonable,unreasonable,antonym,0.7095043659210205
simple,complex,antonym,0.4146430492401123
legible,illegible,antonym,0.3611007332801819
reduced,increased,antonym,0.295735239982605
objective,subjective,antonym,0.4165741205215454
disagreeable,agreeable,antonym,0.8836376667022705
illogical,logical,antonym,0.5510817766189575
unrealistic,realistic,antonym,0.6493533849716187
generous,stingy,antonym,0.0995836853981018
useless,useful,antonym,0.7204150557518005
suppressed,publicized,antonym,0.23597712814807892
sensible,unreasonable,antonym,0.3468092083930969
broad,narrow,antonym,0.7399371266365051
insane,sane,antonym,0.3995489478111267
virtuous,wicked,antonym,0.08847567439079285
unstable,stable,antonym,0.896557629108429
probable,improbable,antonym,0.5247852802276611
considerate,inconsiderate,antonym,0.2437151074409485
finite,infinite,antonym,0.8454813957214355
unbalanced,balanced,antonym,0.7142941355705261
symmetric,asymmetrical,antonym,0.5914044380187988
decreasing,increasing,antonym,0.766754150390625
nascent,dying,antonym,-0.10459360480308533
unsuccessful,successful,antonym,0.6340104341506958
profound,superficial,antonym,0.08850502967834473
loveable,hateful,antonym,0.226581871509552
powerless,powerful,antonym,0.33989813923835754
unholy,holy,antonym,-0.14482887089252472
invulnerable,vulnerable,antonym,0.5561319589614868
covert,overt,antonym,0.06686045229434967
inconvenient,convenient,antonym,0.33532989025115967
practical,impractical,antonym,0.18941178917884827
inaccurate,accurate,antonym,0.8140149116516113
liked,disliked,antonym,0.4828481078147888
efficient,inefficient,antonym,0.668570876121521
joyful,sorrowful,antonym,0.6721634268760681
reversible,irreversible,antonym,0.7051740884780884
violent,nonviolent,antonym,0.45728442072868347
more,less,antonym,0.6401820778846741
irresponsible,responsible,antonym,0.541073739528656
aware,unaware,antonym,0.7939908504486084
tolerable,intolerable,antonym,0.9045422077178955
authorized,unauthorized,antonym,0.7413618564605713
disrespectful,respectful,antonym,0.5484451055526733
lost,found,antonym,0.02885219268500805
united,divided,antonym,0.3682906925678253
hopeful,hopeless,antonym,0.28248265385627747
unfaithful,faithful,antonym,0.49078041315078735
intense,mild,antonym,0.19836750626564026
eventful,uneventful,antonym,-0.07970795035362244
ungrateful,grateful,antonym,0.18524456024169922
legal,illegal,antonym,0.8764680624008179
unusual,usual,antonym,0.4656451642513275
near,far,antonym,0.5258256793022156
unselfish,selfish,antonym,0.3612067997455597
infrequent,frequent,antonym,0.38859179615974426
dependent,independent,antonym,0.716994047164917
public,private,antonym,0.7332381010055542
gradual,sudden,antonym,0.09774528443813324
inconsistent,consistent,antonym,0.8573744297027588
infertile,fertile,antonym,0.7063049077987671
curable,incurable,antonym,0.6827947497367859
sufficient,insufficient,antonym,0.5512528419494629
rational,irrational,antonym,0.8701599836349487
merciless,merciful,antonym,0.28100359439849854
polite,impolite,antonym,0.27122342586517334
dejected,elated,antonym,-0.05063913017511368
symmetrical,asymmetrical,antonym,0.736056923866272
impatient,patient,antonym,0.2943289279937744
awake,asleep,antonym,0.8352888822555542
incredible,credible,antonym,0.03995285928249359
brave,cowardly,antonym,0.6152739524841309
precise,imprecise,antonym,0.22708557546138763
decentralised,centralized,antonym,0.6794862151145935
docile,stubborn,antonym,-0.05786897987127304
displeased,pleased,antonym,-0.15751412510871887
worrisome,reassuring,antonym,0.3477593958377838
edible,inedible,antonym,0.08272799104452133
cheap,expensive,antonym,0.8624695539474487
inaudible,audible,antonym,0.2984476685523987
incapable,capable,antonym,0.5810674428939819
fit,unfit,antonym,0.2894875705242157
unorganized,organized,antonym,0.5431972742080688
explicit,implicit,antonym,0.6470465064048767
possible,impossible,antonym,0.6259697675704956
unproductive,productive,antonym,0.4951708912849426
insensitive,sensitive,antonym,0.4808007776737213
illiterate,literate,antonym,0.6609522104263306
destructive,constructive,antonym,0.25079381465911865
unborn,born,antonym,0.5374498963356018
amicable,hostile,antonym,0.07181983441114426
wide,narrow,antonym,0.8502969145774841
perfect,imperfect,antonym,0.2959147095680237
ample,meager,antonym,0.059120140969753265
equal,unequal,antonym,0.5431985855102539
optional,obligatory,antonym,0.5660414099693298
courageous,cowardly,antonym,0.6216598749160767
sighted,blind,antonym,0.6952139139175415
unbearable,tolerable,antonym,0.33334651589393616
immature,mature,antonym,0.835465133190155
pessimistic,optimistic,antonym,0.6074554324150085
intolerant,tolerant,antonym,0.504708468914032
careless,careful,antonym,0.13269397616386414
unmoved,moved,antonym,0.19755351543426514
meaningless,meaningful,antonym,0.697441041469574
hateful,lovable,antonym,0.18096841871738434
unpaid,paid,antonym,0.6116553544998169
smart,stupid,antonym,0.4506418704986572
innocent,guilty,antonym,0.664706826210022
